"Name","Symbol","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time"
"SAP SE","SAPG","96.920","98.480","98.660","96.240","-0.460","-0.47%","795,656","05:59:45"
"RWE AG ST O.N.","RWEG","22.400","22.730","22.730","22.230","-0.320","-1.41%","882,470","05:59:45"
"MTU Aero Engines NA O.N.","MTXGn","116.95","119.17","121.15","115.65","-2.95","-2.46%","221,703","05:59:39"
"Merck & Company Inc","MRK.DE","68.800","68.800","68.800","68.800","+1.000","+1.47%","45","04:07:00"
"Linde PLC","LINI.DE","149.750","151.200","151.550","148.500","-2.650","-1.74%","476,893","05:44:00"
"Infineon Technologies AG NA O.N.","IFXGn","12.965","12.900","13.001","12.590","+0.185","+1.45%","3,306,304","05:59:45"
"Henkel AG & Co KGAA ST O.N.","HNKG.DE","65.60","65.45","66.10","64.25","-0.05","-0.08%","32,365","05:40:00"
"Fresenius Medical Care KGAA ST","FMEG","58.380","60.710","61.180","58.360","-1.890","-3.14%","308,353","05:59:41"
"Fresenius SE & Co KGAA O.N.","FREG","33.835","33.930","34.360","33.480","+0.210","+0.62%","615,439","05:59:43"
"Heidelbergcement AG O.N.","HEIG","39.510","38.560","39.645","38.315","+0.860","+2.23%","344,453","05:59:44"
"Deutsche Post AG NA O.N.","DPWGn","24.415","24.120","24.600","23.805","+0.710","+3.00%","1,243,874","05:59:42"
"Deutsche Telekom AG Na","DTEGn","11.508","11.610","11.895","11.495","+0.026","+0.23%","4,701,842","05:59:45"
"E.ON SE NA","EONGn","8.948","9.172","9.172","8.915","-0.132","-1.45%","2,833,443","05:59:45"
"Deutsche Lufthansa AG","LHAG","8.060","8.080","8.180","7.970","+0.040","+0.50%","5,270,890","05:59:42"
"Deutsche Bank AG NA O.N.","DBKGn","5.867","5.630","5.926","5.617","+0.292","+5.24%","7,152,893","05:59:45"
"Deutsche Boerse AG","DB1Gn","118.680","121.330","121.900","117.600","-1.870","-1.55%","162,527","05:59:44"
"Continental AG O.N.","CONG","60.87","60.55","62.98","60.18","-0.09","-0.15%","465,237","05:59:45"
"Daimler AG NA O.N.","DAIGn","25.325","25.780","26.585","25.015","-0.265","-1.04%","2,509,205","05:59:45"
"Covestro AG","1COV.DE","27.140","26.900","27.310","26.700","+0.260","+0.97%","342,553","05:44:00"
"Bayer AG NA","BAYGN","52.77","53.09","53.56","52.47","+0.89","+1.72%","900,995","05:59:43"
"Bayerische Motoren Werke AG","BMWG","45.635","45.140","46.835","45.025","+1.160","+2.61%","902,348","05:59:44"
"Beiersdorf AG O.N.","BEIG","88.470","88.780","89.320","87.880","+0.220","+0.25%","111,242","05:59:45"
"BASF SE NA O.N.","BASFN","41.460","41.410","41.720","41.110","+0.330","+0.80%","1,241,135","05:59:42"
"Allianz SE VNA O.N.","ALVG","153.92","155.00","156.44","153.92","+0.70","+0.46%","586,344","05:59:45"
"Adidas AG","ADSGN","196.95","200.40","201.90","196.57","-1.00","-0.51%","204,044","05:59:42"
