ADS
ALV
BAS
BAYN
BEI
BMW
CON
1COV
DAI
DBK
DB1
LHA
DPW
DTE
EOAN
FRE
FME
HEI
HEN3
IFX
LIN
MRK
MTX
MUV2
RWE
SAP
SIE
VOW3
VNA
WDI
